jcm|pts/0|192.168.150.1|May|14|01:43|logged|in
jcm|pts/0|192.168.150.1|May|13|22:16|01:42|(03:25)
jcm|pts/0|192.168.150.1|May|12|00:16|00:17|(00:00)
jcm|pts/0|192.168.150.1|May|11|23:15|00:16|(01:01)
jcm|pts/0|192.168.150.1|May|11|02:15|02:16|(00:00)
jcm|pts/0|192.168.150.1|May|11|02:03|02:15|(00:12)
jcm|pts/14|192.168.150.1|May|11|01:20|01:24|(00:03)
jcm|pts/13|192.168.150.1|May|11|01:20|02:02|(00:42)
jcm|pts/12|192.168.150.1|May|11|01:20|02:02|(00:42)
jcm|pts/11|192.168.150.1|May|11|01:20|02:02|(00:42)
jcm|pts/10|192.168.150.1|May|11|01:20|02:02|(00:42)
jcm|pts/9|192.168.150.1|May|11|01:20|02:02|(00:42)
jcm|pts/8|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/7|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/6|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/5|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/4|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/3|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/2|192.168.150.1|May|11|01:19|02:02|(00:42)
jcm|pts/1|192.168.150.1|May|11|01:18|02:02|(00:44)
jcm|pts/0|192.168.150.1|May|11|00:55|02:02|(01:06)
jcm|pts/0|192.168.150.1|May|10|23:08|00:55|(01:47)
jcm|pts/2|192.168.150.1|Feb|3|08:53|23:04|(96+14:11)
jcm|tty1|0.0.0.0|Feb|3|08:52|down|(96+14:14)
jcm|pts/2|192.168.150.1|Feb|3|07:08|08:53|(01:44)
|||||||
wtmp|begins|Fri|3|07:08:55|2017||
